,Date,Volume,Region_Brisbane,Region_Cairns,Region_Gladstone,Region_Mackay,Region_Townsville,Source_Land,Source_Ship,Source_Unknown,Area_Coastal Waters,Area_Port Limits,Pollutant_Chemical,Pollutant_Diesel,Pollutant_Grease,Pollutant_HFO,Pollutant_Lubricating,Pollutant_Oil,Pollutant_Other,Pollutant_Paint,Pollutant_Sewage,Pollutant_Sheen,Pollutant_Soot
99,2003-07-10,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
100,2003-10-10,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
101,2003-10-13,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
102,2003-10-16,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
103,2003-10-17,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
104,2003-10-24,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
105,2003-10-28,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
106,2003-10-29,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
107,2003-10-30,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
108,2003-08-11,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
109,2003-11-14,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
110,2003-11-16,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
111,2003-11-18,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
112,2003-11-20,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
113,2003-11-23,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
114,2003-04-12,0.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
115,2003-05-12,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
116,2003-07-12,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
117,2003-07-12,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
118,2003-09-12,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
119,2003-11-12,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
120,2003-12-12,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
121,2003-12-17,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
122,2003-12-17,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
123,2003-12-17,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
124,2003-12-18,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
125,2003-12-22,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
126,2003-12-26,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
127,2003-12-26,0.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
128,2003-12-27,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
129,2004-09-01,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
130,2004-11-01,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
131,2004-12-01,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
132,2004-12-01,0.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
133,2004-01-13,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
134,2004-01-15,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
135,2004-01-16,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
136,2004-01-21,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
137,2004-04-02,0.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
138,2004-08-02,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
139,2004-12-02,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
140,2004-02-13,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
141,2004-02-14,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
142,2004-02-25,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
143,2004-02-27,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
144,2004-02-04,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
145,2004-03-04,0.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
146,2004-05-04,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
147,2004-11-04,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
148,2004-12-04,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
149,2004-04-15,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
150,2004-04-18,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
151,2004-05-05,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
152,2004-05-16,0.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
153,2004-05-19,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
154,2004-05-19,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
155,2004-05-21,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
156,2004-05-22,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
157,2004-05-22,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
158,2004-05-24,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
159,2004-05-24,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
160,2004-05-25,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
161,2004-05-27,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
162,2004-04-06,0.0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
163,2004-07-06,0.0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
164,2004-10-06,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
165,2004-10-06,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
166,2004-06-14,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
167,2004-02-07,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
168,2004-07-27,20.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
169,2004-07-29,50.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
170,2004-07-29,0.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
171,2004-07-30,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
172,2004-07-30,5.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
173,2004-08-08,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
174,2004-09-08,15.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
175,2004-08-16,6.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
176,2004-08-16,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
177,2004-08-17,0.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
178,2004-08-24,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
179,2004-08-24,2.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
180,2004-02-09,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
181,2004-07-09,40.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
182,2004-09-09,5.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
183,2004-09-18,5.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
184,2004-09-28,0.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
185,2004-09-28,60.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
186,2004-09-29,0.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
187,2004-03-10,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
188,2004-04-10,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
189,2004-06-10,40.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
190,2004-07-10,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
191,2004-10-10,0.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
192,2004-12-10,100.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
193,2004-10-18,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
194,2004-10-18,0.0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
196,2004-10-21,0.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
197,2004-10-22,500.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
198,2004-10-24,0.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
199,2004-10-27,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
200,2004-10-31,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
201,2004-10-31,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
202,2004-01-11,0.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
